X1,X2,X3,X4,X5,X6,classe
102,16,27,74,67,33,4
97,21,26,79,69,39,4
91,10,37,79,70,34,4
94,12,31,69,68,32,4
102,14,33,71,61,33,4
91,11,27,79,59,34,4
93,15,40,66,64,32,4
102,21,37,69,70,44,4
91,15,32,67,70,46,4
90,19,30,68,65,46,4
102,20,40,69,63,35,4
91,15,35,73,66,45,4
100,17,28,68,70,45,4
97,22,40,65,63,33,4
93,21,30,72,62,34,4
92,12,31,70,67,41,4
102,24,26,77,69,42,4
100,16,36,74,69,37,4
90,18,38,66,61,42,4
91,22,36,75,69,40,4
100,23,40,72,70,33,4
98,19,33,67,71,43,4
99,11,39,71,65,39,4
14,82,57,84,91,74,5
16,83,57,79,83,71,5
17,81,57,85,85,68,5
13,82,64,83,86,67,5
19,80,57,82,90,65,5
16,74,62,77,85,64,5
20,73,60,78,89,69,5
20,83,63,84,84,69,5
22,80,65,80,82,70,5
16,80,58,77,90,65,5
21,79,64,77,92,65,5
16,75,59,77,87,71,5
14,77,65,84,91,73,5
22,81,60,82,84,74,5
23,73,67,82,86,67,5
21,82,67,84,82,71,5
18,75,64,82,92,67,5
17,77,63,76,86,67,5
17,83,66,80,87,71,5
17,83,60,85,87,68,5
14,81,66,83,91,70,5
14,79,62,81,87,70,5
18,83,65,76,85,71,5
16,74,66,83,88,64,5
15,80,66,83,91,71,5
18,77,63,75,87,67,5
14,80,66,85,83,70,5
17,73,66,80,83,67,5
14,77,61,79,87,70,5
21,80,66,79,88,66,5
18,80,63,85,89,71,5
16,82,63,79,83,65,5
15,74,58,85,88,69,5
19,83,64,76,90,73,5
23,82,63,83,88,72,5
13,76,61,77,87,73,5
13,73,57,77,86,73,5
13,83,65,80,88,64,5
21,83,58,80,90,72,5
16,80,65,75,85,67,5
17,76,58,77,90,70,5
17,81,65,77,86,69,5
21,76,57,77,89,72,5
23,81,63,83,82,70,5
16,76,60,79,83,66,5
16,76,59,82,84,68,5
22,76,59,79,82,66,5
16,75,57,82,92,73,5
22,74,62,78,86,67,5
23,76,64,78,88,72,5
23,82,57,77,87,74,5
18,80,67,80,92,64,5
23,74,58,76,92,73,5
19,82,64,76,82,68,5
16,75,59,75,84,67,5
20,75,61,77,88,65,5
19,80,62,79,82,66,5
14,75,61,82,92,64,5
21,81,67,81,90,74,5
23,76,59,75,83,73,5
18,73,66,83,84,71,5
13,77,57,76,92,68,5
22,73,63,85,85,73,5
17,76,66,79,87,70,5
20,75,65,76,85,65,5
19,76,65,80,89,73,5
